onchain_id,snapshot_id,title,status,snapshot_url,discourse_url,onchain_in_db,snapshot_in_db
0,,# AIP 5: Adding CRV to Aave,executed,,,False,False
1,,# AIP 6: Add Gemini USD (GUSD),executed,,,False,False
2,,# AIP 7: Aavenomics quarterly upgrade,executed,,,False,False
3,,# Adding BAL on AAVE,executed,,,False,False
4,,# Activation of the Aave Balancer Pool Liquidity Staking,executed,,,False,False
5,,# Adding xSushi on AAVE,executed,,,False,False
6,,# desactivation of Aave V1 stable rate borrowing,canceled,,,False,False
7,,# desactivation of Aave V1 stable rate borrowing,executed,,,False,False
8,,# Add renFIL support to Aave,executed,,,False,False
9,,# Enable borrowing on renFIL,executed,,,False,False
10,,# Upgrade Aave V1 repayment for migration tool,executed,,,False,False
11,,# introduce Liquidity Incentives for Aave v2,executed,,,False,False
12,,# Whitelist Curve Liquidity Mining Claim,executed,,,False,False
13,,# Aave Grants DAO,executed,,,False,False
14,,# Aavenomics quarterly upgrade Q2 2021,executed,,,False,False
15,,# Safety Incentives Implementation,executed,,,False,False
16,,# Set Reserve Factors for GUSD and CRV,executed,,,False,False
17,,# Add RAI to Aave V2,executed,,,False,False
18,,# Adding AMPL on AAVE,executed,,,False,False
19,,# Add PAX to Aave V2,executed,,,False,False
20,,# ,canceled,,,False,False
21,,# Extend Liquidity Incentives for Aave v2,executed,,,False,False
22,,# Add BarnBridge (BOND) to Aave,pending,,,False,False
23,,# Raise Maximum Interest Rate on AMPL Market,executed,,,False,False
24,,# Lower Reserve Factor for AMPL,executed,,,False,False
25,,# Dynamic Risk Parameters,executed,,,False,False
26,,# Dynamic Risk Parameters,pending,,,False,False
27,,# Add DPI on Aave V2,executed,,,False,False
28,,# Extend Liquidity Incentives for Aave v2,executed,,,False,False
29,,# Polygon Cross-chain Governance Test,executed,,,False,False
30,,# Liquidation Bonus Updates,executed,,,False,False
31,,# Add FRAX to Aave V2,executed,,,False,False
32,,# Adjust interest rate to account for APY over-approximation,canceled,,,False,False
33,,# LTV and Liquidation Threshold Updates to Moderate Levels,executed,,,False,False
34,,# Update to the Liquidity Mining Distribution,executed,,,False,False
35,,# Add FEI to Aave V2,canceled,,,False,False
36,,# Adjust interest rate to account for APY over-approximation,executed,,,False,False
37,,# Add FEI to Aave V2,executed,,,False,False
38,,# Liquidation Bonus Updates for eleven Aave V2 assets,executed,,,False,False
39,,# Risk Parameter Updates for Aave V2 assets,executed,,,False,False
40,,# Risk Parameter Updates 2021-10-07,executed,,,False,False
41,,# Institute a Voting Delay Period,pending,,,False,False
42,,# Risk Parameter Updates 2021-10-14,executed,,,False,False
43,,# Risk Parameter Updates 2021-10-21,executed,,,False,False
44,,# Disable borrow for xSUSHI and DPI. Freeze reserves for UNI and BAL AMM Markets,executed,,,False,False
45,,# Risk Parameter Updates 2021-11-04,queued,,,False,False
46,,# Q2 Dynamic Risk Parameters,pending,,,False,False
47,,# Aave V2 - Liquidity Mining Program (90 days at 30% reduced rate),executed,,,False,False
48,,# Add Fireblocks as a whitelister on Aave Arc,executed,,,False,False
49,,# Authorize the Guardian to hold the emergency keys for V2,executed,,,False,False
50,,# Q2 Dynamic Risk Parameters,executed,,,False,False
51,,# Add G-UNI to Aave V2 AMM Market,executed,,,False,False
52,,# Renew Aave Grants DAO,executed,,,False,False
53,,# Risk Parameter Updates 2021-12-16,executed,,,False,False
54,,# Risk Parameter Updates 2021-12-29,pending,,,False,False
55,,# Enable FEI as Collateral on Aave V2,executed,,,False,False
56,,# Add Assets to Aave Polygon Market and Update WMATIC Risk Parameters,executed,,,False,False
57,,# Revert ENJ Parameter Changes and Enable FEI as Collateral on Aave V2,executed,,,False,False
58,,# Risk Parameter Updates 2022-02-10,executed,,,False,False
59,,# Add SEBA Bank as a whitelister on Aave Arc,executed,,,False,False
60,,# Aave V2 - Liquidity Mining Update (90 days at 30% reduced rate),executed,,,False,False
61,,# Aave <> Starknet - Phase I,executed,,,False,False
62,,# Add stETH to AAVE v2,executed,,,False,False
63,,# Add ENS to Aave V2,executed,,,False,False
64,,# Risk Parameter Updates 2022-02-24,pending,,,False,False
65,,# Add Terra USD (UST) to AAVE v2,executed,,,False,False
66,,# Continuous Formal Verification,executed,,,False,False
67,,# Risk Parameter Updates 2022-03-22,executed,,,False,False
68,,# Optimizing ETH rates,executed,,,False,False
69,,# Risk Parameter Updates 2022-03-31,executed,,,False,False
70,,# Risk Parameter Updates 2022-04-22,executed,,,False,False
71,,# Approval of BGD contribution to Aave,executed,,,False,False
72,,# Aave Arc Market - Update Asset Listing Risk Parameters,executed,,,False,False
73,,# Renew Aave Grants DAO,executed,,,False,False
74,,# Risk Parameter Updates 2022-05-05,canceled,,,False,False
75,,# Freezing UST and Updating stETH Parameters,executed,,,False,False
76,,# Consolidate Reserve Factors and Enable Borrowing DPI,queued,,,False,False
77,,# Add claimRewardsToSelf() to incentives for Ethereum V2 Aave Market,executed,,,False,False
78,,# Risk Parameter Updates for Aave V2 and Aave Arc (Fireblocks) 2022-05-26,pending,,,False,False
79,,# Consolidate Reserve Factors and Enable Borrowing DPI,executed,,,False,False
80,,# Add CVX to Aave V2,executed,,,False,False
81,,# Risk Parameter Updates for Aave Arc (Fireblocks) 2022-05-26,pending,,,False,False
82,,# Renew allowance of the Aave Safety Module,executed,,,False,False
83,,"# Freeze stETH, Increase stETH Liq. Threshold to 90%, Pause ETH Borrowing",pending,,,False,False
84,,# Risk Parameter Updates for Aave Arc (Fireblocks) 2022-05-26,executed,,,False,False
85,,# Aave <> Starknet - Phase I (Part 2),executed,,,False,False
86,,# Bounty to Hacxyk for fallback oracle misconfiguration,executed,,,False,False
87,,# Strategic Investment Part 1 - BAL <> AAVE Token Swap,executed,,,False,False
88,,# Sigma Prime - Security Assessment Services for Aave,executed,,,False,False
89,,#  Add 1INCH to Aave v2 market,canceled,,,False,False
90,,# Add 1INCH to Aave v2 market,executed,,,False,False
91,,# Appoint Securitize as a Whitelister to Aave Arc,executed,,,False,False
92,,# Risk Parameter Updates for Aave V2 (2022-08-03),executed,,,False,False
93,,# Add MAI to Aave V3 on Polygon,executed,,,False,False
94,,# Risk Parameter Updates for Aave V2 (2022-08-18),executed,,,False,False
95,,# Add LUSD to Aave V2,executed,,,False,False
96,,# FEI Risk Parameter Updates for Ethereum Aave v2 Market,executed,,,False,False
97,,# Pause ETH Borrowing,executed,,,False,False
98,,# V3 Retroactive Funding,executed,,,False,False
99,,# Add stMATIC to Aave v3 pool on Polygon,executed,,,False,False
100,,# Add MaticX to Aave v3 Polygon Pool,executed,,,False,False
101,,# Re-enable ETH Borrowing,executed,,,False,False
102,,# Risk Parameter Updates for Aave V2 (2022-09-22),executed,,,False,False
103,,# Ethereum v2 Reserve Factor - aFEI Holding Update,pending,,,False,False
104,,# Llama <> Aave,executed,,,False,False
106,,# Adjust Aave Governance Level 2 requirements,executed,,,False,False
107,,# Use AAVE Ecosystem Reserve to vote YES on proposal to adjust Level 2 Governance requirements,executed,,,False,False
108,,# Risk Parameter Updates for Aave V2 ETH (2022-10-06),executed,,,False,False
109,,# Whitelist Balancer’s Liquidity Mining Claim,executed,,,False,False
110,,# FEI Reserve Factor Update,executed,,,False,False
111,,# Risk Parameter Updates for Aave V2 ETH (2022-10-21),executed,,,False,False
112,,# Risk Parameter Updates for Aave Polygon Markets (2022-10-21),executed,,,False,False
113,,# Chaos Labs Risk Platform Proposal,executed,,,False,False
114,,# Certora Continuous Formal Verification,executed,,,False,False
115,,# Strategic Partnership with Balancer DAO Part 2 - 100k BAL Acquisition,executed,,,False,False
116,,# Add OP to Aave V3 on Optimism,pending,,,False,False
117,,# Risk Parameter Updates for Aave V2 ETH Market (2022-11-12),executed,,,False,False
118,,# Risk Parameter Updates for Aave V2 ETH Market (2022-11-13),executed,,,False,False
119,,# Risk Parameter Updates for Aave V2 ETH Market (2022-11-13),executed,,,False,False
120,,# Risk Parameter Updates for Aave V2 (2022-11-17),executed,,,False,False
121,,# Risk Parameter Updates for Aave V2 ETH Market (2022-11-22),executed,,,False,False
122,,# Pause LINK Borrowing,executed,,,False,False
123,,# Pause UNI Borrowing,executed,,,False,False
124,,# Risk Parameter Updates for Aave V2 Polygon,executed,,,False,False
125,,# Risk Parameter Updates for Aave v2 Ethereum Liquidty Pool,executed,,,False,False
126,,# Risk Parameter Updates for Aave v2 Polygon,pending,,,False,False
127,,# Aave StarkNet Phase I - Aave <> StarkNet Bridge deployment/activation by Aave governance,executed,,,False,False
130,,"# Set LDO, stMATIC, MaticX and SD Emission_Admin for Polygon v3 Liquidity Pool",executed,,,False,False
131,,# Aave v2 ETH Interest Rate Curve Update,executed,,,False,False
132,,# Freeze Aave V1,executed,,,False,False
133,,# Gauntlet <> Aave Renewal,executed,,,False,False
134,,# Update renFIL rate strategy on Aave v2 Ethereum,executed,,,False,False
135,,# Rewards controller update across V3 pools,executed,,,False,False
136,,# Risk Parameter Updates for Aave v2 Ethereum - LTs and LTVs for Long Tail Assets,executed,,,False,False
137,,"# Risk Parameter Updates for Aave v2 Ethereum - LT and LTV (DAI, USDC)",executed,,,False,False
138,,# Supply/Borrow Cap Updates for Aave v3,executed,,,False,False
139,,# Chaos Labs Aave v2 Coverage,executed,,,False,False
140,,# Risk Parameter Updates for Aave V3 Optimism Market (2022-12-29),executed,,,False,False
141,,# Add OP to Aave V3 on Optimism,executed,,,False,False
142,,# Freeze agEUR on Aave v3 Polygon,pending,,,False,False
143,,# Freeze jEUR on Aave v3 Polygon,executed,,,False,False
144,,# Ethereum v2 Collector Contract Consolidation,executed,,,False,False
145,,# Renew Aave Grants DAO,executed,,,False,False
146,,# Repay Excess CRV Debt on Ethereum v2,executed,,,False,False
147,,# Aave Ethereum V3,executed,,,False,False
148,,# Interest Rate Curve Changes for Aave V2 ETH,executed,,,False,False
149,,# Add cbETH to Aave V3 Ethereum,executed,,,False,False
150,,# Aave v3 Polygon wMATIC Interest Rate Update,executed,,,False,False
151,,# BAL Interest Rate Curve Upgrades,executed,,,False,False
152,,# Add USDT to Aave Ethereum V3 pool,executed,,,False,False
153,,# Add rETH to Aave Ethereum V3 pool,executed,,,False,False
154,,# Add LUSD to Aave Ethereum V3 pool,executed,,,False,False
